book_id,isbn,authors,original_publication_year,original_title,average_rating,ratings_count,image_url
1,439023483,Suzanne Collins,2008,The Hunger Games,4.34,4780653,https://images.gr-assets.com/books/1447303603m/2767052.jpg
2,439554934,"J.K. Rowling, Mary GrandPré",1997,Harry Potter and the Philosopher's Stone,4.44,4602479,https://images.gr-assets.com/books/1474154022m/3.jpg
3,316015849,Stephenie Meyer,2005,Twilight,3.57,3866839,https://images.gr-assets.com/books/1361039443m/41865.jpg
4,61120081,Harper Lee,1960,To Kill a Mockingbird,4.25,3198671,https://images.gr-assets.com/books/1361975680m/2657.jpg
5,743273567,F. Scott Fitzgerald,1925,The Great Gatsby,3.89,2683664,https://images.gr-assets.com/books/1490528560m/4671.jpg
6,525478817,John Green,2012,The Fault in Our Stars,4.26,2346404,https://images.gr-assets.com/books/1360206420m/11870085.jpg
7,618260307,J.R.R. Tolkien,1937,The Hobbit or There and Back Again,4.25,2071616,https://images.gr-assets.com/books/1372847500m/5907.jpg
8,316769177,J.D. Salinger,1951,The Catcher in the Rye,3.79,2044241,https://images.gr-assets.com/books/1398034300m/5107.jpg
9,1416524797,Dan Brown,2000,"Angels & Demons ",3.85,2001311,https://images.gr-assets.com/books/1303390735m/960.jpg
10,679783261,Jane Austen,1813,Pride and Prejudice,4.24,2035490,https://images.gr-assets.com/books/1320399351m/1885.jpg
11,1594480001,Khaled Hosseini,2003,"The Kite Runner ",4.26,1813044,https://images.gr-assets.com/books/1484565687m/77203.jpg
12,62024035,Veronica Roth,2011,Divergent,4.24,1903563,https://images.gr-assets.com/books/1328559506m/13335037.jpg
13,451524934,"George Orwell, Erich Fromm, Celâl Üster",1949,Nineteen Eighty-Four,4.14,1956832,https://images.gr-assets.com/books/1348990566m/5470.jpg
14,452284244,George Orwell,1945,Animal Farm: A Fairy Story,3.87,1881700,https://images.gr-assets.com/books/1424037542m/7613.jpg
15,553296981,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,4.1,1972666,https://images.gr-assets.com/books/1358276407m/48855.jpg
16,307269752,"Stieg Larsson, Reg Keeland",2005,Män som hatar kvinnor,4.11,1808403,https://images.gr-assets.com/books/1327868566m/2429135.jpg
17,439023491,Suzanne Collins,2009,Catching Fire,4.3,1831039,https://images.gr-assets.com/books/1358273780m/6148028.jpg
18,043965548X,"J.K. Rowling, Mary GrandPré, Rufus Beck",1999,Harry Potter and the Prisoner of Azkaban,4.53,1832823,https://images.gr-assets.com/books/1499277281m/5.jpg
19,618346252,J.R.R. Tolkien,1954," The Fellowship of the Ring",4.34,1766803,https://images.gr-assets.com/books/1298411339m/34.jpg
20,439023513,Suzanne Collins,2010,Mockingjay,4.03,1719760,https://images.gr-assets.com/books/1358275419m/7260188.jpg
21,439358078,"J.K. Rowling, Mary GrandPré",2003,Harry Potter and the Order of the Phoenix,4.46,1735368,https://images.gr-assets.com/books/1387141547m/2.jpg
22,316166685,Alice Sebold,2002,The Lovely Bones,3.77,1605173,https://images.gr-assets.com/books/1457810586m/12232938.jpg
23,439064864,"J.K. Rowling, Mary GrandPré",1998,Harry Potter and the Chamber of Secrets,4.37,1779331,https://images.gr-assets.com/books/1474169725m/15881.jpg
24,439139600,"J.K. Rowling, Mary GrandPré",2000,Harry Potter and the Goblet of Fire,4.53,1753043,https://images.gr-assets.com/books/1361482611m/6.jpg
25,545010225,"J.K. Rowling, Mary GrandPré",2007,Harry Potter and the Deathly Hallows,4.61,1746574,https://images.gr-assets.com/books/1474171184m/136251.jpg
26,307277674,Dan Brown,2003,The Da Vinci Code,3.79,1447148,https://images.gr-assets.com/books/1303252999m/968.jpg
27,439785960,"J.K. Rowling, Mary GrandPré",2005,Harry Potter and the Half-Blood Prince,4.54,1678823,https://images.gr-assets.com/books/1361039191m/1.jpg
28,140283331,William Golding,1954,"Lord of the Flies ",3.64,1605019,https://images.gr-assets.com/books/1327869409m/7624.jpg
29,743477111,"William Shakespeare, Robert           Jackson",1595,An Excellent conceited Tragedie of Romeo and Juliet,3.73,1628519,https://images.gr-assets.com/books/1327872146m/18135.jpg
30,297859382,Gillian Flynn,2012,Gone Girl,4.03,512475,https://images.gr-assets.com/books/1339602131m/8442457.jpg
31,399155341,Kathryn Stockett,2009,The Help,4.45,1531753,https://images.gr-assets.com/books/1346100365m/4667024.jpg
32,142000671,John Steinbeck,1937,"Of Mice and Men ",3.84,1467496,https://images.gr-assets.com/books/1437235233m/890.jpg
33,739326228,Arthur Golden,1997,Memoirs of a Geisha,4.08,1300209,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
34,1612130291,E.L. James,2011,Fifty Shades of Grey,3.67,1338493,https://images.gr-assets.com/books/1385207843m/10818853.jpg
35,61122416,"Paulo Coelho, Alan R. Clarke",1988,O Alquimista,3.82,1299566,https://images.gr-assets.com/books/1483412266m/865.jpg
36,385732554,Lois Lowry,1993,The Giver,4.12,1296825,https://images.gr-assets.com/books/1342493368m/3636.jpg
37,60764899,C.S. Lewis,1950,"The Lion, the Witch and the Wardrobe",4.19,1531800,https://images.gr-assets.com/books/1353029077m/100915.jpg
38,965818675,Audrey Niffenegger,2003,The Time Traveler's Wife,3.95,746287,https://images.gr-assets.com/books/1437728815m/14050.jpg
39,553588486,George R.R. Martin,1996,A Game of Thrones,4.45,1319204,https://images.gr-assets.com/books/1436732693m/13496.jpg
40,143038419,Elizabeth Gilbert,2006,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia",3.51,1181647,https://images.gr-assets.com/books/1503066414m/19501.jpg
41,786838655,Rick Riordan,2005,The Lightning Thief,4.23,1366265,https://images.gr-assets.com/books/1400602609m/28187.jpg
42,451529308,Louisa May Alcott,1868,Little Women,4.04,1257121,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
43,142437204,"Charlotte Brontë, Michael Mason",1847,Jane Eyre,4.1,1198557,https://images.gr-assets.com/books/1327867269m/10210.jpg
44,553816713,Nicholas Sparks,1996,The Notebook,4.06,1053403,https://images.gr-assets.com/books/1385738917m/15931.jpg
45,770430074,Yann Martel,2001,Life of Pi,3.88,1003228,https://images.gr-assets.com/books/1320562005m/4214.jpg
46,1565125606,Sara Gruen,2006,Water for Elephants,4.07,1068146,https://images.gr-assets.com/books/1494428973m/43641.jpg
47,375831002,Markus Zusak,2005,The Book Thief,4.36,1159741,https://images.gr-assets.com/books/1390053681m/19063.jpg
48,307347974,Ray Bradbury,1953,Fahrenheit 451,3.97,570498,https://images.gr-assets.com/books/1351643740m/4381.jpg
49,316160199,Stephenie Meyer,2006,"New Moon (Twilight, #2)",3.52,1149630,https://images.gr-assets.com/books/1361039440m/49041.jpg
50,60513039,Shel Silverstein,1974,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,4.29,1016888,https://images.gr-assets.com/books/1168052448m/30119.jpg
51,1416914285,Cassandra Clare,2007,City of Bones,4.12,1154031,https://images.gr-assets.com/books/1432730315m/256683.jpg
52,316160202,Stephenie Meyer,2007,Eclipse,3.69,1134511,https://images.gr-assets.com/books/1361038355m/428263.jpg
53,375826696,Christopher Paolini,2002,Eragon,3.86,1104021,https://images.gr-assets.com/books/1366212852m/113436.jpg
54,345391802,Douglas Adams,1979,The Hitchhiker's Guide to the Galaxy,4.2,936782,https://images.gr-assets.com/books/1327656754m/11.jpg
55,60929871,Aldous Huxley,1932,Brave New World,3.97,1022601,https://images.gr-assets.com/books/1487389574m/5129.jpg
56,031606792X,Stephenie Meyer,2008,Breaking Dawn,3.7,1070245,https://images.gr-assets.com/books/1361039438m/1162543.jpg
57,142001740,Sue Monk Kidd,2001,The Secret Life of Bees,4.01,916189,https://images.gr-assets.com/books/1473454532m/37435.jpg
58,142437174,"Mark Twain, John Seelye, Guy Cardwell",1884,The Adventures of Huckleberry Finn,3.8,953758,https://images.gr-assets.com/books/1405973850m/2956.jpg
59,64410935,"E.B. White, Garth Williams, Rosemary Wells",1952,Charlotte's Web,4.15,1064521,https://images.gr-assets.com/books/1439632243m/24178.jpg
60,1400032717,Mark Haddon,2003,The Curious Incident of the Dog in the Night-Time,3.85,867553,https://images.gr-assets.com/books/1479863624m/1618.jpg
61,1594633665,Paula Hawkins,2015,The Girl on the Train,3.88,1008778,https://images.gr-assets.com/books/1490903702m/22557272.jpg
62,679879242,Philip Pullman,1995,Northern Lights,3.94,953970,https://images.gr-assets.com/books/1451271747m/119322.jpg
63,393978893,"Emily Brontë, Richard J. Dunn",1847,Wuthering Heights,3.82,899195,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
64,743454537,Jodi Picoult,2004,My Sister's Keeper,4.06,863879,https://images.gr-assets.com/books/1369504683m/10917.jpg
65,385333846,Kurt Vonnegut Jr.,1969,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ",4.06,846488,https://images.gr-assets.com/books/1440319389m/4981.jpg
66,446675539,Margaret Mitchell,1936,Gone with the Wind,4.28,873981,https://images.gr-assets.com/books/1328025229m/18405.jpg
67,1594489505,Khaled Hosseini,2007,A Thousand Splendid Suns,4.34,818742,https://images.gr-assets.com/books/1345958969m/128029.jpg
68,671027344,Stephen Chbosky,1999,The Perks of Being a Wallflower,4.21,888806,https://images.gr-assets.com/books/1167352178m/22628.jpg
69,7442912,Veronica Roth,2012,Insurgent,4.07,836362,https://images.gr-assets.com/books/1325667729m/11735983.jpg
70,812550706,Orson Scott Card,1985,Ender's Game,4.3,813439,https://images.gr-assets.com/books/1408303130m/375802.jpg
71,141439475,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818,"Frankenstein; or, The Modern Prometheus",3.75,808589,https://images.gr-assets.com/books/1381512375m/18490.jpg
72,450040186,Stephen King,1977,The Shining,4.17,791850,https://images.gr-assets.com/books/1353277730m/11588.jpg
73,316068047,Stephenie Meyer,2008,The Host,3.84,749780,https://images.gr-assets.com/books/1318009171m/1656001.jpg
74,142402516,John Green,2005,Looking for Alaska,4.09,783470,https://images.gr-assets.com/books/1394798630m/99561.jpg
75,014028009X,Helen Fielding,1996,,3.75,736498,https://images.gr-assets.com/books/1292060045m/227443.jpg
76,141439661,"Jane Austen, Tony Tanner, Ros Ballaster",1811,Sense and Sensibility,4.06,738894,https://images.gr-assets.com/books/1397245675m/14935.jpg
77,439244196,"Louis Sachar, Louis Sachar",1998,Holes,3.93,747445,https://images.gr-assets.com/books/1327781893m/38709.jpg
78,307275558,Lauren Weisberger,2003,The Devil Wears Prada,3.7,665930,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
79,143039954,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",-720,Ὀδύσσεια,3.73,670326,https://images.gr-assets.com/books/1390173285m/1381.jpg
80,156012197,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946,Le Petit Prince,4.28,738757,https://images.gr-assets.com/books/1367545443m/157993.jpg
81,074324754X,Jeannette Walls,2005,The Glass Castle,4.24,621099,https://images.gr-assets.com/books/1400930557m/7445.jpg
82,385486804,Jon Krakauer,1996,Into the Wild,3.94,647684,https://images.gr-assets.com/books/1403173986m/1845.jpg
83,141439602,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859,A Tale of Two Cities,3.81,637412,https://images.gr-assets.com/books/1344922523m/1953.jpg
84,030734813X,Michael Crichton,1990,Jurassic Park,3.96,447833,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
85,60256656,Shel Silverstein,1964,The Giving Tree,4.38,702332,https://images.gr-assets.com/books/1174210942m/370493.jpg
86,385338600,John Grisham,1989,A Time to Kill,4.03,597775,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
87,374500010,"Elie Wiesel, Marion Wiesel",1958,Un di Velt Hot Geshvign,4.3,691231,https://images.gr-assets.com/books/1473495285m/1617.jpg
88,014241493X,John Green,2008,Paper Towns,3.88,461311,https://images.gr-assets.com/books/1349013610m/6442769.jpg
89,345418263,William Goldman,1973,The Princess Bride,4.25,628637,https://images.gr-assets.com/books/1327903636m/21787.jpg
90,014038572X,S.E. Hinton,1967,The Outsiders,4.06,659248,https://images.gr-assets.com/books/1442129426m/231804.jpg
91,385737947,James Dashner,2009,The Maze Runner,4.02,719925,https://images.gr-assets.com/books/1375596592m/6186357.jpg
92,61234001,"Steven D. Levitt, Stephen J. Dubner",2005,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,3.93,524191,https://images.gr-assets.com/books/1327909092m/1202.jpg
93,517189607,Frances Hodgson Burnett,1911,The Secret Garden,4.12,639357,https://images.gr-assets.com/books/1327873635m/2998.jpg
94,60531045,"Gabriel García Márquez, Gregory Rabassa",1967,Cien años de soledad,4.04,490565,https://images.gr-assets.com/books/1327881361m/320.jpg
95,375751513,"Oscar Wilde, Jeffrey Eugenides",1891,The Picture of Dorian Gray,4.06,590014,https://images.gr-assets.com/books/1424596966m/5297.jpg
96,345803507,E.L. James,2012,Fifty Shades Freed,3.88,387290,https://images.gr-assets.com/books/1336418837m/13536860.jpg
97,393970124,"Bram Stoker, Nina Auerbach, David J. Skal",1897,Dracula,3.98,618973,https://images.gr-assets.com/books/1387151694m/17245.jpg
98,307269981,"Stieg Larsson, Reg Keeland",2006,Flickan som lekte med elden,4.22,563994,https://images.gr-assets.com/books/1351778881m/5060378.jpg
99,1612130585,E.L. James,2011,Fifty Shades Darker,3.87,552059,https://images.gr-assets.com/books/1358266080m/11857408.jpg
100,60786507,Barbara Kingsolver,1998,The Poisonwood Bible,4.02,546502,https://images.gr-assets.com/books/1412242487m/7244.jpg
101,349113912,David Sedaris,2000,Me Talk Pretty One Day,3.97,495736,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
102,99408392,Maurice Sendak,1963,Where the Wild Things Are,4.22,620618,https://images.gr-assets.com/books/1384434560m/19543.jpg
103,140449264,"Alexandre Dumas, Robin Buss",1844,Le Comte de Monte-Cristo,4.21,555822,https://images.gr-assets.com/books/1309203605m/7126.jpg
104,307265439,Cormac McCarthy,2006,The Road,3.95,504793,https://images.gr-assets.com/books/1439197219m/6288.jpg
105,7524277,Veronica Roth,2013,Allegiant,3.63,463257,https://images.gr-assets.com/books/1395582745m/18710190.jpg
106,,Tina Fey,2011,Bossypants,3.94,506250,https://images.gr-assets.com/books/1481509554m/9418327.jpg
107,446693804,Nicholas Sparks,1999,A Walk to Remember,4.15,546948,https://images.gr-assets.com/books/1385738968m/3473.jpg
108,440241413,Sophie Kinsella,2000,Confessions of a Shopaholic,3.61,543658,https://images.gr-assets.com/books/1327872404m/9416.jpg
109,451525264,"Victor Hugo, Lee Fahnestock, Norman MacAfee",1862,Les Misérables,4.14,513407,https://images.gr-assets.com/books/1411852091m/24280.jpg
110,553381695,George R.R. Martin,1998,A Clash of Kings,4.4,523303,https://images.gr-assets.com/books/1358254974m/10572.jpg
111,143037145,Kim Edwards,2005,The Memory Keeper's Daughter,3.64,501430,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
112,670026603,Jojo Moyes,2012,Me Before You,4.27,587647,https://images.gr-assets.com/books/1357108762m/15507958.jpg
113,684833395,Joseph Heller,1961,Catch-22,3.98,563265,https://images.gr-assets.com/books/1463157317m/168668.jpg
114,751529818,"Mitch Albom, Saulius Dagys",1997,Tuesdays with Morrie,4.06,556518,https://images.gr-assets.com/books/1423763749m/6900.jpg
115,312422156,Jeffrey Eugenides,2002,Middlesex,3.98,488243,https://images.gr-assets.com/books/1437029776m/2187.jpg
116,143039563,"Mark Twain, Guy Cardwell, John Seelye",1876,The Adventures of Tom Sawyer,3.89,555359,https://images.gr-assets.com/books/1404811979m/24583.jpg
117,440498058,Madeleine L'Engle,1962,A Wrinkle in Time,4.04,615907,https://images.gr-assets.com/books/1329061522m/18131.jpg
118,143038095,Amy Tan,1989,The Joy Luck Club,3.9,515090,https://images.gr-assets.com/books/1304978653m/7763.jpg
119,038549081X,Margaret Atwood,1985,The Handmaid's Tale,4.06,607889,https://images.gr-assets.com/books/1498057733m/38447.jpg
120,385729332,Ann Brashares,2001,The Sisterhood of the Traveling Pants,3.75,525706,https://images.gr-assets.com/books/1461611233m/452306.jpg
121,,"Vladimir Nabokov, Craig Raine",1955,Lolita,3.88,469836,https://images.gr-assets.com/books/1377756377m/7604.jpg
122,60987103,"Gregory Maguire, Douglas Smith",1995,Wicked: The Life and Times of the Wicked Witch of the West,3.52,506900,https://images.gr-assets.com/books/1437733293m/37442.jpg
123,582418275,John Grisham,1991,The Firm,3.99,488269,https://images.gr-assets.com/books/1418465200m/5358.jpg
124,316098337,Emma Donoghue,2010,Room,4.03,511360,https://images.gr-assets.com/books/1344265419m/7937843.jpg
125,521618746,"William Shakespeare, Richard Andrews, Rex Gibson",1600,"The Tragicall Historie of Hamlet, Prince of Denmark",4.0,515820,https://images.gr-assets.com/books/1351051208m/1420.jpg
126,340839937,Frank Herbert,1965,Dune,4.19,485032,https://images.gr-assets.com/books/1434908555m/234225.jpg
127,316346624,Malcolm Gladwell,2000,The Tipping Point: How Little Things Can Make a Big Difference,3.92,490504,https://images.gr-assets.com/books/1473396980m/2612.jpg
128,1451648537,Walter Isaacson,2011,Steve Jobs,4.09,560715,https://images.gr-assets.com/books/1327861368m/11084145.jpg
129,451163966,Ken Kesey,1962,One Flew Over the Cuckoo's Nest,4.18,491642,https://images.gr-assets.com/books/1485308778m/332613.jpg
130,684830493,Ernest Hemingway,1952,The Old Man and the Sea,3.73,520630,https://images.gr-assets.com/books/1329189714m/2165.jpg
131,142000663,John Steinbeck,1939,The Grapes of Wrath,3.92,322321,https://images.gr-assets.com/books/1352912927m/4395.jpg
132,1401308589,Mitch Albom,2003,The Five People You Meet in Heaven,3.9,449501,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
133,451528824,L.M. Montgomery,1908,Anne of Green Gables,4.23,502247,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
134,1416914307,Cassandra Clare,2009,City of Glass,4.34,593173,https://images.gr-assets.com/books/1369452339m/3777732.jpg
135,055357342X,George R.R. Martin,2000,A Storm of Swords,4.54,469022,https://images.gr-assets.com/books/1497931121m/62291.jpg
136,006075995X,Rebecca Wells,1996,Divine Secrets of the Ya-Ya Sisterhood,3.79,465676,https://images.gr-assets.com/books/1408313524m/137791.jpg
137,440242940,Diana Gabaldon,1991,Outlander,4.2,515547,https://images.gr-assets.com/books/1402600310m/10964.jpg
138,142437263,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",1850,The Scarlet Letter,3.37,509883,https://images.gr-assets.com/books/1404810944m/12296.jpg
139,1594744769,Ransom Riggs,2011,Miss Peregrine’s Home for Peculiar Children,3.89,613674,https://images.gr-assets.com/books/1472782916m/9460487.jpg
140,030726999X,"Stieg Larsson, Reg Keeland",2007,Luftslottet som sprängdes,4.2,443951,https://images.gr-assets.com/books/1327708260m/6892870.jpg
141,804139024,Andy Weir,2012,The Martian,4.39,423344,https://images.gr-assets.com/books/1413706054m/18007564.jpg
142,451207149,Ken Follett,1989,The Pillars of the Earth,4.29,462517,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
143,1476746583,Anthony Doerr,2014,,4.31,470001,https://images.gr-assets.com/books/1451445646m/18143977.jpg
144,1400064163,Laura Hillenbrand,2010,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",4.4,487775,https://images.gr-assets.com/books/1327861115m/8664353.jpg
145,671027387,Dan Brown,2001,Deception Point,3.67,455610,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
146,316055433,Donna Tartt,2013,The Goldfinch,3.87,396756,https://images.gr-assets.com/books/1451554970m/17333223.jpg
147,1595141715,Jay Asher,2007,Thirteen Reasons Why,4.02,463783,https://images.gr-assets.com/books/1333822506m/1217100.jpg
148,452287022,Tracy Chevalier,1999,Girl with a Pearl Earring,3.85,467577,https://images.gr-assets.com/books/1327197580m/2865.jpg
149,525421033,Gayle Forman,2009,If I Stay,3.96,503527,https://images.gr-assets.com/books/1347462970m/4374400.jpg
150,312353766,Anita Diamant,1997,The Red Tent,4.16,424981,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
151,786856866,Rick Riordan,2006,The Sea of Monsters,4.23,514932,https://images.gr-assets.com/books/1400602661m/28186.jpg
152,446528056,Nicholas Sparks,2006,Dear John,4.01,441062,https://images.gr-assets.com/books/1397749854m/5526.jpg
153,1416914293,Cassandra Clare,2008,City of Ashes,4.21,541117,https://images.gr-assets.com/books/1432730356m/1582996.jpg
154,743477103,William Shakespeare,1606,The Tragedy of Macbeth,3.88,496018,https://images.gr-assets.com/books/1459795224m/8852.jpg
155,618346260,J.R.R. Tolkien,1954,The Two Towers,4.42,480446,https://images.gr-assets.com/books/1298415523m/15241.jpg
156,031232118X,Emily Giffin,2004,Something Borrowed,3.83,403601,https://images.gr-assets.com/books/1305063535m/42156.jpg
157,394800168,"Dr. Seuss, לאה נאור",1960,Green Eggs and Ham,4.29,457475,https://images.gr-assets.com/books/1468680100m/23772.jpg
158,142403881,"Roald Dahl, Quentin Blake",1964,Charlie and the Chocolate Factory,4.1,453959,https://images.gr-assets.com/books/1309211401m/6310.jpg
159,1423101464,Rick Riordan,2008,The Battle of the Labyrinth,4.39,508214,https://images.gr-assets.com/books/1443142158m/2120932.jpg
160,192833596,Charles Dickens,1860,Great Expectations,3.75,459247,https://images.gr-assets.com/books/1327920219m/2623.jpg
161,345339738,J.R.R. Tolkien,1955,The Return of the King,4.51,463959,https://images.gr-assets.com/books/1389977161m/18512.jpg
162,,"Albert Camus, Matthew    Ward",1942,L’Étranger,3.96,420600,https://images.gr-assets.com/books/1349927872m/49552.jpg
163,142311339X,Rick Riordan,2010,The Lost Hero,4.35,271576,https://images.gr-assets.com/books/1464201003m/7736182.jpg
164,1250012570,Rainbow Rowell,2013,Eleanor & Park,4.11,514312,https://images.gr-assets.com/books/1341952742m/15745753.jpg
165,055358202X,George R.R. Martin,2005,A Feast for Crows,4.1,428186,https://images.gr-assets.com/books/1429538615m/13497.jpg
166,525423648,Ally Condie,2010,Matched,3.68,511815,https://images.gr-assets.com/books/1367706191m/7735333.jpg
167,747263744,Neil Gaiman,2001,American Gods,4.11,378019,https://images.gr-assets.com/books/1258417001m/4407.jpg
